,token,tag
0,ویکی‌پدیای,O
1,انگلیسی,O
2,در,B-DAT
3,تاریخ,I-DAT
4,۱۵,I-DAT
5,ژانویه,I-DAT
6,۲۰۰۱,I-DAT
7,(,O
8,میلادی,B-DAT
9,),O
10,۲۶,B-DAT
11,دی,I-DAT
12,۱۳۷۹,I-DAT
13,),O
14,به,O
15,صورت,O
16,مکملی,O
17,برای,O
18,دانشنامه,O
19,تخصصی,O
20,نوپدیا,O
21,نوشته,O
22,شد,O
23,.,O
24,بنیان‌گذاران,O
25,آن,O
26,،,O
27,جیمی,B-PER
28,ولز,I-PER
29,و,O
30,لری,B-PER
31,سنگر,I-PER
32,هستند,O
33,.,O
34,هم‌اکنون,O
35,بنیاد,O
36,غیرانتفاعی,O
37,بنیاد,B-ORG
38,ویکی‌مدیا,I-ORG
39,پروژه,O
40,ویکی‌پدیا,O
41,را,O
42,پشتیبانی,O
43,می‌کند,O
44,.,O
45,کارساز,O
46,وب,O
47,اصلی,O
48,این,O
49,وبگاه,O
50,در,O
51,شهر,O
52,تامپا,B-LOC
53,ی,O
54,فلوریدا,B-LOC
55,هستند,O
56,.,O
57,همچنین,O
58,میزبان‌های,O
59,اضافی,O
60,دیگری,O
61,هم,O
62,در,O
63,شهرهای,O
64,آمستردام,B-LOC
65,و,O
66,سئول,B-LOC
67,به,O
68,این,O
69,وبگاه,O
70,یاری,O
71,می‌رسانند,O
72,.,O
73,ویکی‌پدیا,O
74,از,B-DAT
75,پایان,I-DAT
76,آوریل,I-DAT
77,۲۰۰۷,I-DAT
78,تاکنون,O
79,،,O
80,یکی,O
81,از,O
82,۱۰,O
83,وبگاه,O
84,برتر,O
85,جهان,O
86,از,O
87,لحاظ,O
88,شمار,O
89,بازدیدکنندگان,O
90,بوده‌است,O
91,که,O
92,بیش,O
93,از,O
94,نیمی,O
95,از,O
96,بازدیدها,O
97,به,O
98,ویکی‌پدیای,O
99,انگلیسی,O
100,مربوط,O
101,می‌شود,O
102,.,O
103,در,O
104,میان,O
105,تمام,O
106,زبان‌های,O
107,ویکی‌پدیا,O
108,تا,B-DAT
109,دسامبر,I-DAT
